Season,Player_ID,Contract_Type,Value
2022-23,1629731,Team Option,1930681.0
2020-21,1629685,Guaranteed,2137440.0
2021-22,1629685,Guaranteed,2239200.0
2022-23,1629685,Team Option,4037278.0
2023-24,1629685,Qualifying Offer,5959022.0
2020-21,1628392,Guaranteed,1620564.0
2021-22,1628392,Player Option,1762796.0
2020-21,1628386,Guaranteed,3909902.0
2021-22,1628386,Qualifying Offer,7705447.0
2020-21,2747,Not With Team,1456667.0
2021-22,2747,Not With Team,1456667.0
2020-21,201567,Guaranteed,31258256.0
2021-22,201567,Guaranteed,31258256.0
2022-23,201567,Guaranteed,28942830.0
2020-21,203521,Guaranteed,1620564.0
2020-21,1626188,Not With Team,110998.0
2020-21,1629730,Not With Team,340000.0
2020-21,1627752,Guaranteed,12250000.0
2021-22,1627752,Guaranteed,13000000.0
2020-21,1626246,Guaranteed,3500000.0
2020-21,203939,Guaranteed,11080125.0
2021-22,203939,Guaranteed,11080125.0
2022-23,203939,Guaranteed,11080125.0
2020-21,1628973,Guaranteed,1663861.0
2021-22,1628973,Non-Guaranteed,1802057.0
2020-21,200755,Guaranteed,13013700.0
2020-21,1626196,Guaranteed,10865952.0
2021-22,1626196,Player Option,11615328.0
2020-21,204001,Guaranteed,29467800.0
2021-22,204001,Guaranteed,31650600.0
2022-23,204001,Guaranteed,33833400.0
2023-24,204001,Player Option,36016200.0
2020-21,1629029,Guaranteed,8049360.0
2021-22,1629029,Guaranteed,10174391.0
2022-23,1629029,Qualifying Offer,13348801.0
2020-21,1628467,Guaranteed,8325000.0
2021-22,1628467,Guaranteed,8825000.0
2022-23,1628467,Non-Guaranteed,9075000.0
2020-21,1629740,Guaranteed,3897436.0
2021-22,1629740,Qualifying Offer,4871795.0
2020-21,203504,Guaranteed,3000000.0
2021-22,203504,Guaranteed,3150000.0
2022-23,203504,Player Option,3300000.0
2020-21,203932,Guaranteed,18136364.0
2021-22,203932,Guaranteed,16409091.0
2020-21,1629109,Guaranteed,2000000.0
2021-22,1629109,Non-Guaranteed,2100000.0
2020-21,1627750,Guaranteed,27285000.0
2021-22,1627750,Guaranteed,29467800.0
2022-23,1627750,Guaranteed,31650600.0
2023-24,1627750,Guaranteed,33833400.0
2024-25,1627750,Guaranteed,36016200.0
2020-21,203210,Guaranteed,7199760.0
2021-22,203210,Player Option,7559748.0
2020-21,201580,Guaranteed,4200000.0
2020-21,1628420,Guaranteed,1723707.0
2021-22,1628420,Guaranteed,8449074.0
2022-23,1628420,Guaranteed,9125000.0
2023-24,1628420,Guaranteed,9800926.0
2020-21,203999,Guaranteed,29542010.0
