Season,Player_ID,Contract_Type,Value
2022-23,1629660,Team Option,4220057.0
2023-24,1629660,Qualifying Offer,6169723.0
2020-21,1629597,Not With Team,1445697.0
2021-22,1626184,Qualifying Offer,1789256.0
2020-21,1628407,Guaranteed,1678854.0
2021-22,1628407,Non-Guaranteed,1824003.0
2020-21,203914,Guaranteed,19160714.0
2021-22,203914,Guaranteed,20482143.0
2020-21,201952,Not With Team,1620564.0
2020-21,1628371,Guaranteed,7362566.0
2021-22,1628371,Guaranteed,17400000.0
2022-23,1628371,Guaranteed,17400000.0
2023-24,1628371,Guaranteed,17400000.0
2024-25,1628371,Guaranteed,17400000.0
2020-21,203920,Guaranteed,3000000.0
2020-21,1628365,Guaranteed,12288697.0
2021-22,1628365,Guaranteed,16500000.0
2022-23,1628365,Guaranteed,16500000.0
2023-24,1628365,Non-Guaranteed,17000000.0
2020-21,1628964,Guaranteed,5969040.0
2021-22,1628964,Guaranteed,7568743.0
2022-23,1628964,Team Option,10096703.0
2020-21,203082,Guaranteed,13500000.0
2021-22,203082,Guaranteed,12500000.0
2022-23,203082,Guaranteed,11500000.0
2020-21,1627732,Guaranteed,30559200.0
2021-22,1627732,Guaranteed,33003936.0
2022-23,1627732,Guaranteed,35448672.0
2023-24,1627732,Guaranteed,37893408.0
2024-25,1627732,Guaranteed,40338144.0
2020-21,201980,Guaranteed,15365853.0
2020-21,2730,Guaranteed,1620564.0
2020-21,1627788,Guaranteed,1762796.0
2020-21,201588,Guaranteed,9590602.0
2021-22,201588,Non-Guaranteed,10047297.0
2020-21,203954,Guaranteed,29542010.0
2021-22,203954,Guaranteed,31579390.0
2022-23,203954,Guaranteed,33616770.0
2020-21,1626147,Not With Team,125000.0
2020-21,1629680,Guaranteed,2711280.0
2021-22,1629680,Guaranteed,2840160.0
2022-23,1629680,Team Option,4379527.0
2023-24,1629680,Qualifying Offer,6275862.0
2020-21,203118,Guaranteed,5005350.0
2020-21,203552,Guaranteed,7834449.0
2021-22,203552,Guaranteed,8207518.0
2022-23,203552,Guaranteed,8496653.0
2020-21,1629003,Guaranteed,1701593.0
2021-22,1629003,Guaranteed,1846738.0
2022-23,1629003,Team Option,1997718.0
2020-21,202699,Guaranteed,34358850.0
2021-22,202699,Guaranteed,35995950.0
2022-23,202699,Guaranteed,37633050.0
2023-24,202699,Guaranteed,39270150.0
2020-21,1627846,Guaranteed,1752950.0
2020-21,1629661,Guaranteed,4235160.0
2021-22,1629661,Guaranteed,4437000.0
2022-23,1629661,Team Option,5887899.0
2023-24,1629661,Qualifying Offer,8060534.0
2020-21,1626166,Guaranteed,1977011.0
2020-21,101108,Guaranteed,41358814.0
2021-22,101108,Player Option,44211146.0
2020-21,203967,Guaranteed,9250000.0
2021-22,203967,Guaranteed,8510000.0
2022-23,203967,Guaranteed,9240000.0
2020-21,1629028,Guaranteed,10018200.0
2021-22,1629028,Guaranteed,12632950.0
2022-23,1629028,Qualifying Offer,16422835.0
2020-21,1626164,Guaranteed,29467800.0
2021-22,1626164,Guaranteed,31650600.0
2022-23,1626164,Guaranteed,33833400.0
2023-24,1626164,Guaranteed,36016200.0
2020-21,202734,Guaranteed,1620564.0
2020-21,1626163,Guaranteed,1620564.0
2020-21,203109,Guaranteed,9258000.0
2021-22,203109,Guaranteed,9720900.0
2022-23,203109,Guaranteed,10183800.0
2020-21,1628975,Guaranteed,3925000.0
2021-22,1628975,Guaranteed,3650000.0
2022-23,1628975,Guaranteed,3925000.0
2020-21,204038,Guaranteed,1620564.0
2020-21,1628969,Guaranteed,4359000.0
2021-22,1628969,Guaranteed,5557725.0
2022-23,1628969,Qualifying Offer,7569621.0
2020-21,1628470,Guaranteed,1620564.0
2020-21,203094,Not With Team,2844430.0
2021-22,203094,Not With Team,2844429.0
2022-23,203094,Not With Team,2844429.0
2023-24,203094,Not With Team,2844429.0
2020-21,1629014,Guaranteed,2252040.0
2021-22,1629014,Guaranteed,3938818.0
2022-23,1629014,Qualifying Offer,5758552.0
2020-21,2546,Guaranteed,1620564.0
2020-21,203468,Guaranteed,29354152.0
2021-22,203468,Guaranteed,30864198.0
2022-23,203468,Guaranteed,33333333.0
2023-24,203468,Guaranteed,35802469.0
2020-21,203081,Guaranteed,31626953.0
2021-22,203081,Guaranteed,39344900.0
2022-23,203081,Guaranteed,42492492.0
2023-24,203081,Guaranteed,45640084.0
2024-25,203081,Player Option,48787676.0
2020-21,202683,Guaranteed,5005350.0
2020-21,203994,Guaranteed,12888889.0
2021-22,203994,Non-Guaranteed,12000000.0
2020-21,1629642,Guaranteed,2210640.0
2021-22,1629642,Guaranteed,2316240.0
2022-23,1629642,Team Option,4171548.0
2023-24,1629642,Qualifying Offer,6128004.0
2020-21,1626181,Guaranteed,10865952.0
2021-22,1626181,Player Option,11615328.0
2020-21,203496,Guaranteed,12138345.0
2021-22,203496,Guaranteed,12975471.0
2020-21,1628380,Guaranteed,5406255.0
2021-22,1628380,Qualifying Offer,7363319.0
2020-21,1627741,Guaranteed,24701834.0
2021-22,1627741,Guaranteed,22768890.0
2022-23,1627741,Guaranteed,20835947.0
2023-24,1627741,Guaranteed,18903003.0
2020-21,1629002,Not With Team,50000.0
2020-21,1629735,Guaranteed,1517981.0
2021-22,1629735,Non-Guaranteed,1782621.0
2022-23,1629735,Qualifying Offer,2228276.0
2020-21,1628368,Guaranteed,8099627.0
2021-22,1628368,Guaranteed,28103500.0
2022-23,1628368,Guaranteed,30351780.0
2023-24,1628368,Guaranteed,32600060.0
2024-25,1628368,Guaranteed,34848340.0
2020-21,1626153,Guaranteed,9000000.0
2021-22,1626153,Guaranteed,8526316.0
2020-21,203084,Guaranteed,22215909.0
2021-22,203084,Guaranteed,20284091.0
2022-23,203084,Guaranteed,18352273.0
2020-21,202355,Guaranteed,1620564.0
2020-21,203953,Not With Team,6500000.0
2020-21,1629713,Guaranteed,1517981.0
2021-22,1629713,Non-Guaranteed,1782621.0
2022-23,1629713,Qualifying Offer,2228276.0
2020-21,1628963,Guaranteed,8963640.0
2021-22,1628963,Guaranteed,11312114.0
2022-23,1628963,Qualifying Offer,14762309.0
2020-21,203090,Guaranteed,3623000.0
2020-21,1629662,Not With Team,2075880.0
2020-21,1626158,Guaranteed,5005350.0
2020-21,1629056,Guaranteed,1517981.0
2021-22,1629056,Qualifying Offer,1897476.0
2020-21,1629244,Not With Team,110998.0
2020-21,1627749,Guaranteed,14286000.0
2021-22,1627749,Guaranteed,15428880.0
2022-23,1627749,Guaranteed,16571120.0
2023-24,1627749,Guaranteed,17714000.0
2020-21,201942,Guaranteed,27739975.0
2020-21,201960,Not With Team,6119676.0
2021-22,201960,Not With Team,1242340.0
2020-21,1628401,Guaranteed,3516284.0
2021-22,1628401,Guaranteed,15678571.0
2022-23,1628401,Guaranteed,16892857.0
2023-24,1628401,Guaranteed,18107143.0
2024-25,1628401,Guaranteed,19321429.0
2020-21,1629234,Guaranteed,1620564.0
2021-22,1629234,Non-Guaranteed,1762796.0
2022-23,1629234,Non-Guaranteed,1910860.0
2020-21,203476,Guaranteed,1000000.0
2020-21,1627751,Guaranteed,8101852.0
2021-22,1627751,Guaranteed,8750000.0
2022-23,1627751,Guaranteed,9398148.0
2020-21,1629640,Guaranteed,2048040.0
2021-22,1629640,Guaranteed,2145720.0
2022-23,1629640,Team Option,3873025.0
2023-24,1629640,Qualifying Offer,5809538.0
2020-21,200746,Not With Team,16750000.0
2020-21,1629677,Guaranteed,2824320.0
2021-22,1629677,Guaranteed,2959080.0
2022-23,1629677,Team Option,4556983.0
2023-24,1629677,Qualifying Offer,6498258.0
2020-21,1627737,Not With Team,1824003.0
2020-21,201988,Guaranteed,13535714.0
2021-22,1629683,Qualifying Offer,1669178.0
2020-21,200752,Guaranteed,14500000.0
2020-21,1626168,Guaranteed,5500000.0
2020-21,203458,Not With Team,2258000.0
2020-21,203382,Guaranteed,7000000.0
2021-22,203382,Non-Guaranteed,7350000.0
2020-21,1628449,Guaranteed,6500000.0
2021-22,1628449,Non-Guaranteed,7020000.0
2020-21,1627761,Guaranteed,1737145.0
2021-22,1627761,Non-Guaranteed,1977011.0
2020-21,1627832,Guaranteed,21250000.0
2021-22,1627832,Guaranteed,19675926.0
2022-23,1627832,Guaranteed,21250000.0
2023-24,1627832,Player Option,22824074.0
2020-21,200768,Guaranteed,30500000.0
2020-21,1628384,Guaranteed,3872215.0
2021-22,1628384,Guaranteed,16071429.0
2022-23,1628384,Guaranteed,17357143.0
2023-24,1628384,Guaranteed,18642857.0
2024-25,1628384,Player Option,19928571.0
2020-21,1629052,Not With Team,300000.0
2020-21,1627783,Guaranteed,30559200.0
2021-22,1627783,Guaranteed,33003936.0
2022-23,1627783,Guaranteed,35448672.0
2023-24,1627783,Guaranteed,37893408.0
2020-21,1627775,Guaranteed,4000000.0
2020-21,1628778,Guaranteed,1445697.0
2021-22,1628778,Non-Guaranteed,1701593.0
2022-23,1628778,Qualifying Offer,2126991.0
2020-21,203918,Guaranteed,10047450.0
2021-22,203918,Non-Guaranteed,10851246.0
2020-21,1626169,Guaranteed,3804150.0
2020-21,202711,Guaranteed,17850000.0
2021-22,202711,Guaranteed,18700000.0
2022-23,202711,Guaranteed,19550000.0
2020-21,202324,Guaranteed,9258000.0
2021-22,202324,Guaranteed,9720900.0
2022-23,202324,Player Option,10183800.0
2020-21,1628378,Guaranteed,5195501.0
2021-22,1628378,Guaranteed,28103500.0
2022-23,1628378,Guaranteed,30351780.0
2023-24,1628378,Guaranteed,32600060.0
2024-25,1628378,Guaranteed,34848340.0
2020-21,101141,Guaranteed,754783.0
2020-21,1627777,Guaranteed,1783557.0
2021-22,1629714,Qualifying Offer,1669178.0
2020-21,204060,Guaranteed,10863637.0
2021-22,204060,Guaranteed,13036364.0
2020-21,203903,Guaranteed,11500000.0
2021-22,203903,Guaranteed,12420000.0
2022-23,203903,Guaranteed,13340000.0
2023-24,203903,Player Option,14260000.0
2020-21,1629752,Guaranteed,1517981.0
2021-22,1629752,Qualifying Offer,1897476.0
2020-21,1629744,Guaranteed,1517981.0
2021-22,1629744,Non-Guaranteed,1782621.0
2022-23,1629744,Qualifying Offer,2228276.0
2020-21,201144,Guaranteed,34502132.0
2020-21,1629671,Guaranteed,1517981.0
2021-22,1629671,Non-Guaranteed,1782621.0
2022-23,1629671,Qualifying Offer,2228276.0
2020-21,1626220,Guaranteed,8500000.0
2021-22,1626220,Guaranteed,8800000.0
2022-23,1626220,Guaranteed,9200000.0
2023-24,1626220,Non-Guaranteed,9500000.0
2020-21,203497,Guaranteed,27525281.0
2021-22,203497,Guaranteed,35344828.0
2022-23,203497,Guaranteed,38172414.0
2023-24,203497,Guaranteed,41000000.0
2024-25,203497,Guaranteed,43827586.0
2020-21,203458,Guaranteed,1265372.0
2020-21,203078,Guaranteed,28751774.0
2021-22,203078,Guaranteed,33724200.0
2022-23,203078,Player Option,36422136.0
2020-21,1628990,Guaranteed,2443440.0
2021-22,1628990,Guaranteed,4019459.0
2022-23,1628990,Qualifying Offer,5820177.0
2020-21,1629655,Guaranteed,1517981.0
2021-22,1629655,Non-Guaranteed,1782621.0
2022-23,1629655,Team Option,1930681.0
2020-21,202722,Guaranteed,15000000.0
2021-22,202722,Guaranteed,16000000.0
2022-23,202722,Guaranteed,16000000.0
2023-24,202722,Guaranteed,17000000.0
2024-25,202722,Early Termination,16000000.0
2021-22,1629726,Qualifying Offer,1669178.0
2020-21,1629067,Guaranteed,1663861.0
2021-22,1629067,Qualifying Offer,2079826.0
2020-21,202397,Guaranteed,6000000.0
2020-21,1629010,Guaranteed,3737520.0
2020-21,203526,Guaranteed,1620564.0
2020-21,201577,Guaranteed,7300000.0
2020-21,1629060,Guaranteed,4692840.0
2021-22,1629060,Guaranteed,4916160.0
2022-23,1629060,Team Option,6263188.0
2023-24,1629060,Qualifying Offer,8486620.0
2020-21,201566,Guaranteed,41358814.0
2021-22,201566,Guaranteed,44211146.0
2022-23,201566,Player Option,47063478.0
2020-21,1628418,Guaranteed,8333333.0
2021-22,1628418,Guaranteed,8666667.0
