,Season,PlayerID,Contract_Type,Value
58,2023-24,1629684.0,Qualifying Offer,6235495.0
59,2020-21,1627824.0,Not With Team,1039080.0
60,2021-22,1627824.0,Not With Team,1039080.0
61,2020-21,1627759.0,Guaranteed,23437500.0
62,2021-22,1627759.0,Guaranteed,25312500.0
63,2022-23,1627759.0,Guaranteed,27187500.0
64,2023-24,1627759.0,Guaranteed,29062501.0
65,2020-21,1628369.0,Guaranteed,9897120.0
66,2021-22,1628369.0,Guaranteed,28103500.0
67,2022-23,1628369.0,Guaranteed,30351780.0
68,2023-24,1628369.0,Guaranteed,32600060.0
69,2024-25,1628369.0,Guaranteed,34848340.0
70,2020-21,202689.0,Guaranteed,34379100.0
71,2021-22,202689.0,Guaranteed,36016200.0
72,2022-23,202689.0,Player Option,37653300.0
73,2020-21,1628436.0,Guaranteed,2250000.0
74,2020-21,203935.0,Guaranteed,13446428.0
75,2021-22,203935.0,Guaranteed,14339285.0
76,2020-21,1629021.0,Guaranteed,2161920.0
77,2020-21,,Guaranteed,2035800.0
78,2021-22,,Guaranteed,2137440.0
79,2022-23,,Team Option,2239200.0
80,2023-24,,Team Option,4037277.0
81,2024-25,,Qualifying Offer,5959022.0
82,2020-21,,Guaranteed,2029920.0
83,2021-22,,Guaranteed,3661976.0
84,2022-23,,Qualifying Offer,5430710.0
85,2020-21,1629641.0,Guaranteed,3631200.0
86,2021-22,1629641.0,Guaranteed,3804360.0
87,2022-23,1629641.0,Team Option,5634257.0
88,2023-24,1629641.0,Qualifying Offer,7837251.0
89,2020-21,1628400.0,Guaranteed,1752950.0
90,2021-22,1629605.0,Qualifying Offer,1669178.0
91,2021-22,1629682.0,Qualifying Offer,1669178.0
92,2020-21,202684.0,Guaranteed,9258000.0
93,2021-22,202684.0,Guaranteed,9720900.0
94,2020-21,1628993.0,Not With Team,110998.0
95,2020-21,203460.0,Not With Team,163818.0
96,2020-21,201933.0,Guaranteed,776873.0
97,2020-21,,Guaranteed,1663861.0
98,2021-22,,Qualifying Offer,4736102.0
99,2021-22,1629185.0,Qualifying Offer,1729217.0
100,2020-21,201599.0,Guaranteed,10375678.0
101,2021-22,201599.0,Guaranteed,9881598.0
102,2022-23,201599.0,Guaranteed,9821842.0
103,2020-21,202697.0,Not With Team,447155.0
104,2020-21,201935.0,Guaranteed,41254920.0
105,2021-22,201935.0,Guaranteed,44310840.0
